Complex_name,Embedding,Confidence_score,Hetero_graph_path
AAFOLOXJFQKJAI-UHFFFAOYSA-N_O95050_2A14,,,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/AAFOLOXJFQKJAI-UHFFFAOYSA-N_O95050_2A14/hetero_graph_AAFOLOXJFQKJAI-UHFFFAOYSA-N_O95050_2A14.pt
ABJFBJGGLJVMAQ-UHFFFAOYSA-N_P00371_1AN9,,,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/ABJFBJGGLJVMAQ-UHFFFAOYSA-N_P00371_1AN9/hetero_graph_ABJFBJGGLJVMAQ-UHFFFAOYSA-N_P00371_1AN9.pt
ABKAFUZUCJSIKV-UHFFFAOYSA-N_P78536_3KMC,,,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/ABKAFUZUCJSIKV-UHFFFAOYSA-N_P78536_3KMC/hetero_graph_ABKAFUZUCJSIKV-UHFFFAOYSA-N_P78536_3KMC.pt
ABKAFUZUCJSIKV-UHFFFAOYSA-N_Q9UBN7_5KH3,,,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/ABKAFUZUCJSIKV-UHFFFAOYSA-N_Q9UBN7_5KH3/hetero_graph_ABKAFUZUCJSIKV-UHFFFAOYSA-N_Q9UBN7_5KH3.pt
ADHSWFUIIRWNHD-UHFFFAOYSA-N_P22894_1JAQ,,,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/ADHSWFUIIRWNHD-UHFFFAOYSA-N_P22894_1JAQ/hetero_graph_ADHSWFUIIRWNHD-UHFFFAOYSA-N_P22894_1JAQ.pt
AEDNYZQZIZUZTP-UHFFFAOYSA-N_P15121_1ABN,,,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/AEDNYZQZIZUZTP-UHFFFAOYSA-N_P15121_1ABN/hetero_graph_AEDNYZQZIZUZTP-UHFFFAOYSA-N_P15121_1ABN.pt
AEYJCQAMKNGBTG-UHFFFAOYSA-N_P00371_1AN9,,,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/AEYJCQAMKNGBTG-UHFFFAOYSA-N_P00371_1AN9/hetero_graph_AEYJCQAMKNGBTG-UHFFFAOYSA-N_P00371_1AN9.pt
AFBJTTXQSHVNCK-UHFFFAOYSA-N_P32897_7CLV,,,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/AFBJTTXQSHVNCK-UHFFFAOYSA-N_P32897_7CLV/hetero_graph_AFBJTTXQSHVNCK-UHFFFAOYSA-N_P32897_7CLV.pt
AFJGGVKGGIUNFB-UHFFFAOYSA-N_Q8IL11_3KR4,,,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/AFJGGVKGGIUNFB-UHFFFAOYSA-N_Q8IL11_3KR4/hetero_graph_AFJGGVKGGIUNFB-UHFFFAOYSA-N_Q8IL11_3KR4.pt
AGEUQNZXCIVHPB-UHFFFAOYSA-N_P41229_5FWJ,,,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/AGEUQNZXCIVHPB-UHFFFAOYSA-N_P41229_5FWJ/hetero_graph_AGEUQNZXCIVHPB-UHFFFAOYSA-N_P41229_5FWJ.pt
