Complex_name,Embedding,Confidence_score,Hetero_graph_path
FJKROLUGYXJWQN-UHFFFAOYSA-N_P14679_7RK7,"[[-10.297391    13.2399     -19.520844   ...  14.118226     6.3753095
   -1.9049656 ]
 [-31.818878    13.818752    13.760281   ...  -3.2167082    6.675541
    2.271535  ]
 [-15.865254     7.7377434  -31.838026   ...  -9.1008415    4.3205514
    6.172889  ]
 ...
 [ -1.5085735    9.059231    17.037586   ...  -4.64841      4.3970413
   -4.212106  ]
 [ 17.174564     6.502958     1.2179787  ...   7.445964   -10.091524
   -0.91945267]
 [  3.3454227   -1.7021253   19.918531   ...  33.926544    19.321411
   10.235366  ]]",-0.68,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/FJKROLUGYXJWQN-UHFFFAOYSA-N_P14679_7RK7/hetero_graph_FJKROLUGYXJWQN-UHFFFAOYSA-N_P14679_7RK7.pt
FWDFNLVLIXAOMX-UHFFFAOYSA-N_P49841_1Q5K,"[[  1.5350063   -7.793517   -21.438263   ...  34.91211      9.763739
   -6.3214693 ]
 [-12.862454    18.936274   -21.477121   ...   3.7496433   -8.899416
    0.310202  ]
 [ -8.141339     1.095542     6.9154406  ... -16.219294    12.2997875
   -6.0454392 ]
 ...
 [ 15.272068    16.598928     9.116802   ...  -5.076187    -3.2622032
    3.7457602 ]
 [  9.723527    21.116076    17.480198   ...   0.17795359  -5.711977
   -1.0643147 ]
 [ 24.063053    21.613674    12.274222   ...   0.36505425  -9.47368
    2.1105566 ]]",-0.24,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/FWDFNLVLIXAOMX-UHFFFAOYSA-N_P49841_1Q5K/hetero_graph_FWDFNLVLIXAOMX-UHFFFAOYSA-N_P49841_1Q5K.pt
QGNQEODJYRGEJX-UHFFFAOYSA-N_O95551_5J3S,"[[-13.121674   -4.8397703  -4.428526  ...   9.78251    10.486109
    0.976316 ]
 [-20.20504    -7.620536   -5.98259   ...   6.2516804  11.302167
  -15.904895 ]
 [ -5.5166306 -10.297187  -29.574396  ...  17.903578   11.372356
  -19.553713 ]
 ...
 [ 18.392664    6.379706    1.3246605 ...  -5.4299374  -6.082519
   -1.7551978]
 [ 14.962398   21.074318    1.803195  ...  -2.0085065   4.258398
    8.411535 ]
 [ 14.5893955  21.944725    2.5114338 ...  12.537336   -5.349984
  -10.387451 ]]",-0.64,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/QGNQEODJYRGEJX-UHFFFAOYSA-N_O95551_5J3S/hetero_graph_QGNQEODJYRGEJX-UHFFFAOYSA-N_O95551_5J3S.pt
VXILVSMPTBRDEC-UHFFFAOYSA-N_P29475_4D1N,"[[  2.5381088   -3.1285865  -12.161288   ...  15.921177    -3.2878165
  -28.701292  ]
 [-16.081308     8.787255    20.61911    ...   4.746152     0.9643109
  -10.413984  ]
 [-24.995174    -8.335062    -3.4709666  ...   7.6323886   -6.424225
   25.699287  ]
 ...
 [ 11.369251     1.8261728   18.403524   ...   1.3449733  -18.865332
    9.660045  ]
 [  5.021931     2.319106    15.232529   ...   7.2713833   13.15942
    1.4273298 ]
 [  1.8822057   -0.84340215 -37.25338    ...   1.0102854    8.514109
   20.09837   ]]",-1.26,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/VXILVSMPTBRDEC-UHFFFAOYSA-N_P29475_4D1N/hetero_graph_VXILVSMPTBRDEC-UHFFFAOYSA-N_P29475_4D1N.pt
KFVLXUCRFMKHRV-UHFFFAOYSA-N_P14324_5JA0,"[[-12.01746    13.907228  -31.023243  ...   0.9307914  -3.8820763
    1.1122279]
 [-25.965937    7.197423    9.716948  ...  -7.5048876 -24.88187
   -2.8776102]
 [-14.900602    9.521351  -14.329641  ... -16.093845   -8.262533
   10.378475 ]
 ...
 [ 24.493195   -7.109371   -7.7773647 ... -20.797512   30.704641
   -9.389782 ]
 [  5.0914392  10.386618    6.0084496 ...  11.9369335 -15.113713
  -10.558761 ]
 [  5.513701   10.655569    7.3846836 ...  14.255869    7.9395313
   -2.776687 ]]",-1.75,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/KFVLXUCRFMKHRV-UHFFFAOYSA-N_P14324_5JA0/hetero_graph_KFVLXUCRFMKHRV-UHFFFAOYSA-N_P14324_5JA0.pt
CFZHBOBZIMSELS-UHFFFAOYSA-N_P00371_1AN9,,,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/CFZHBOBZIMSELS-UHFFFAOYSA-N_P00371_1AN9/hetero_graph_CFZHBOBZIMSELS-UHFFFAOYSA-N_P00371_1AN9.pt
XBLYFFCQPGMTDA-UHFFFAOYSA-N_P25779_3KKU,,,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/XBLYFFCQPGMTDA-UHFFFAOYSA-N_P25779_3KKU/hetero_graph_XBLYFFCQPGMTDA-UHFFFAOYSA-N_P25779_3KKU.pt
RVPBQMPBKKAUBW-RZNRLUQXSA-N_Q72547_2JLE,"[[-27.52094     -0.77252793  -2.6535277  ...   8.547493   -14.354533
   14.68268   ]
 [-12.22332     -7.033188     5.2602186  ...  -1.8976735  -44.478424
   23.957914  ]
 [  5.3590674    1.0247412    1.2384586  ...  -7.667267    -9.57744
  -10.193473  ]
 ...
 [ -2.4884243   22.638325    12.653802   ... -12.554247     2.494186
    4.6637173 ]
 [  9.101029    16.214687     5.314133   ... -12.18433     -2.754018
    9.268875  ]
 [  0.97600985  17.328888    11.072656   ... -11.027972   -10.814553
    8.950195  ]]",-3.31,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/RVPBQMPBKKAUBW-RZNRLUQXSA-N_Q72547_2JLE/hetero_graph_RVPBQMPBKKAUBW-RZNRLUQXSA-N_Q72547_2JLE.pt
CYTNKKXCGVFEJU-UHFFFAOYSA-N_Q13547_4BKX,"[[  5.5638514   -1.7332726  -18.105587   ...  -6.8035183   14.846599
   -3.7717214 ]
 [-31.132841     2.8760586    7.1568995  ...   2.949295    21.305008
   -4.288933  ]
 [ -9.564419    10.5555725   -7.93658    ...  -5.340996    10.264229
   15.8581705 ]
 ...
 [ -5.272629     3.8719554   -0.12579477 ...   2.7748039   -0.6239995
   -2.3474355 ]
 [  2.2677503    3.0481272   18.853693   ...   0.20381165   2.406378
    2.94771   ]
 [  3.566953    -7.7476983   31.11597    ... -20.392145    16.78061
   11.422502  ]]",-0.3,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/CYTNKKXCGVFEJU-UHFFFAOYSA-N_Q13547_4BKX/hetero_graph_CYTNKKXCGVFEJU-UHFFFAOYSA-N_Q13547_4BKX.pt
WLZISXXOYYGJNT-UHFFFAOYSA-N_P50281_1BQQ,"[[ -0.07397461  16.515133    16.974274   ...  -5.11872     29.654211
   -1.2550955 ]
 [-28.688053    38.556526    16.545181   ...   8.237479    -3.0852919
   -8.037345  ]
 [-16.596264    38.971382   -16.617384   ...   4.9144173    9.677492
    4.606745  ]
 ...
 [  4.401455     2.710874     8.657148   ...  -6.8202696    3.338025
    9.793659  ]
 [ -0.6884475    0.7913809   -2.1897912  ...   3.9999182   -0.8534766
   -0.17215657]
 [-14.299388   -13.091368    30.508762   ...   0.08313942   3.871801
   -1.1624157 ]]",-3.52,/home/serve/Gibeom/test/test2/DiffDock/data/Papyrus_DB/GBnam/Dataset/WLZISXXOYYGJNT-UHFFFAOYSA-N_P50281_1BQQ/hetero_graph_WLZISXXOYYGJNT-UHFFFAOYSA-N_P50281_1BQQ.pt
