<qed>0.4068|CCO
<qed>0.3598|C
<qed>0.3853|CO
<qed>0.419|NCCS
<qed>0.4035|NCCN
<qed>0.3847|CN
<qed>0.3606|C=O
<qed>0.4062|CCN
<qed>0.4028|CSC
<qed>0.3936|CBr
<qed>0.3499|CI
<qed>0.3673|CF
<qed>0.3728|CC
<qed>0.3999|CNC=O
<qed>0.4633|CCCN
<qed>0.4638|CCCO
<qed>0.2767|O=CC#C
<qed>0.3131|C=CC=O
<qed>0.387|CC#N
<qed>0.372|CCCl
<qed>0.2912|NC#N
<qed>0.355|CC=O
<qed>0.3166|SC#N
<qed>0.3835|FCF
<qed>0.3329|C#C
<qed>0.3574|CCl
<qed>0.3445|C=C
<qed>0.38|COC
<qed>0.3987|CNC
<qed>0.5049|CCNCC
<qed>0.3855|CCC
<qed>0.3516|N#N
<qed>0.3641|CNO
<qed>0.2733|CNN
<qed>0.3698|C#N
<qed>0.4284|CC(C)O
<qed>0.3999|CNC=O
<qed>0.4073|CCCCON
<qed>0.4486|CCNC=O
<qed>0.4299|CC(O)=O
<qed>0.5128|CCCCO
<qed>0.5124|CCCCN
<qed>0.4384|COCOC
<qed>0.4038|CCC#N
<qed>0.4688|CCCCC
<qed>0.4753|CCOCC
<qed>0.243|NC(N)=N
<qed>0.39|ClCCl
<qed>0.4252|NCC=C
<qed>0.3705|NC(N)=O
<qed>0.4056|NCCO
<qed>0.4529|OCCF
<qed>0.3571|CC=C
<qed>0.3802|OC=O
<qed>0.3477|CC#C
<qed>0.431|CCCC
<qed>0.4122|CCBr
<qed>0.3925|CNNC
<qed>0.355|CC=O
<qed>0.4199|OCCS
<qed>0.3523|NC=O
<qed>0.2333|ON=C
<qed>0.4075|OCCO
<qed>0.374|CON
<qed>0.4184|CCCCl
<qed>0.3982|CS(C)=O
<qed>0.2333|ON=C
<qed>0.4432|Cn1ccnc1
<qed>0.5133|CCCCCO
<qed>0.463|CCCCCC
<qed>0.4363|ClCCCl
<qed>0.4075|CCCC#C
<qed>0.3815|OCC(O)CO
<qed>0.4185|CN1CCCC1
<qed>0.3013|CC(=O)NO
<qed>0.4212|NCC(O)=O
<qed>0.4656|CCCCCF
<qed>0.4366|CCOC=O
<qed>0.4575|CCCCCl
<qed>0.4646|NCCCCN
<qed>0.1865|NNC(N)=O
<qed>0.4587|CCNCCN
<qed>0.45|CNCCO
<qed>0.3666|N=C=N
<qed>0.4569|NCCCO
<qed>0.3529|C=C=C
<qed>0.4|CCC=C
<qed>0.4976|CCSCC
<qed>0.3622|CC#CC
<qed>0.4545|NCCCN
<qed>0.4469|OCCCl
<qed>0.4258|OCC=C
<qed>0.2566|NC(=O)NO
<qed>0.4033|CCC=O
<qed>0.5298|CSCCO
<qed>0.3912|COC=O
<qed>0.4357|ClCBr
<qed>0.4323|C1CCSC1
<qed>0.4857|COCCO
<qed>0.459|OCCCO
<qed>0.5018|OCCBr
<qed>0.3661|C1CN1
<qed>0.4294|CCON
<qed>0.3832|OC#N
<qed>0.4521|NCCF
<qed>0.3994|NCC=O
<qed>0.4555|CCNC
<qed>0.4474|CCCS
<qed>0.4528|CSSC
<qed>0.3151|CCNN
<qed>0.3166|SC#N
<qed>0.52|NCCCC(O)=O
<qed>0.4473|c1cnoc1
<qed>0.4801|Nc1ccccc1
<qed>0.5339|CCCCCCO
<qed>0.3982|CC(C)=O
<qed>0.4601|c1cscn1
<qed>0.401|CC(N)=O
<qed>0.3743|CCCCC=O
<qed>0.4348|C1CCNC1
<qed>0.4188|CC(N)=S
<qed>0.4869|CCC(C)O
<qed>0.4946|CN(C)CCO
<qed>0.4279|CC(C)N
<qed>0.4447|CCOC=C
<qed>0.4947|CCOCCO
<qed>0.4895|ClCCBr
<qed>0.5114|CCCCBr
<qed>0.4021|COCC#C
<qed>0.4691|OCCCCO
<qed>0.4587|CNCCCN
<qed>0.4022|C1CNCCN1
<qed>0.3158|OCNC=O
<qed>0.353|NCCCON
<qed>0.4356|CCCC=C
<qed>0.4566|ClCCNCCCl
<qed>0.3992|CC(F)F
<qed>0.5352|CSCCCO
<qed>0.378|CCNNCC
<qed>0.3038|CN=C=S
<qed>0.3845|CN(C)C
<qed>0.3726|C=CC#N
<qed>0.5496|BrCCBr
<qed>0.4494|OCC(S)CS
<qed>0.3273|ClCC=C
<qed>0.5597|OCCCBr
<qed>0.3814|C1CC1
<qed>0.3283|ClCC=O
<qed>0.349|C1CO1
<qed>0.3963|C=CC=C
<qed>0.5038|NCCCF
<qed>0.3791|NCC#N
<qed>0.4462|NCCCl
<qed>0.4901|BrCBr
<qed>0.466|CCCBr
<qed>0.3642|O=C=O
<qed>0.395|S=C=S
<qed>0.3747|OCC#C
<qed>0.5008|NCCBr
<qed>0.3976|ClC=C
<qed>0.3493|SCC=C
<qed>0.2753|NNCCO
<qed>0.3713|C1CS1
<qed>0.4241|COCCl
<qed>0.4903|CCCCS
<qed>0.4693|OCCCS
<qed>0.3739|NCC#C
<qed>0.4488|BrC#N
<qed>0.4485|CC=CCO
<qed>0.4485|CC=CCO
<qed>0.4448|CC(N)CS
<qed>0.3895|N#CN1CCC1
<qed>0.4588|Cc1ccccc1
<qed>0.5719|NCc1ccccc1
<qed>0.4683|c1c[nH]cn1
<qed>0.383|COC(C)=O
<qed>0.5366|CCC(N)CC
<qed>0.4908|CCC(O)=O
<qed>0.4526|c1cncnc1
<qed>0.4364|c1ncncn1
<qed>0.4526|c1cnccn1
<qed>0.4511|CCC(C)=O
<qed>0.4223|C1CCCCC1
<qed>0.4576|C1CCNCC1
<qed>0.4526|c1ccnnc1
<qed>0.3159|NCCNCCNCCN
<qed>0.5723|OCc1ccccc1
<qed>0.4839|CCCC(C)C
<qed>0.4218|CC1CCCC1
<qed>0.3612|C=CCCC=C
<qed>0.5337|CC(C)CCN
<qed>0.406|CC(Cl)Cl
<qed>0.406|CCCCNC=O
<qed>0.5368|CCCC(C)O
<qed>0.5368|CCC(O)CC
<qed>0.5015|CCNCCNCC
<qed>0.4389|NCCSSCCN
<qed>0.5015|CNCCCCNC
<qed>0.4421|CN1CCNCC1
<qed>0.3943|NCC(N)=O
<qed>0.3916|FC(F)Cl
<qed>0.399|FC(F)=C
<qed>0.4338|CC(N)CO
<qed>0.561|CSCCCCO
<qed>0.3837|OCCNCCO
<qed>0.4888|CSCCC#N
<qed>0.4008|NC(O)=O
<qed>0.4763|CCCCCCC
<qed>0.4413|CC(C)NO
<qed>0.4253|CCCCCCS
<qed>0.4291|CCCCCBr
<qed>0.5381|ClCCCBr
<qed>0.4791|ClCCCCl
<qed>0.4961|NCCC[P]
<qed>0.4809|CNCCCNC
<qed>0.4404|OCC=C=C
<qed>0.3015|CC=NC#N
<qed>0.3709|NC(N)=S
<qed>0.4835|CC(C)CO
<qed>0.4109|C1CCOC1
<qed>0.4489|c1ccsc1
<qed>0.446|c1ccoc1
<qed>0.4358|CC(O)CO
<qed>0.5276|CCCCCNC
<qed>0.3848|CCCNC=O
<qed>0.3791|NCCNCCN
<qed>0.4338|CC(O)CN
<qed>0.4959|NCCCCCO
<qed>0.3913|CSCCC=O
<qed>0.383|CCCCCCl
<qed>0.5031|OCCSCCO
<qed>0.498|OCCCCCO
<qed>0.2738|OC=CC=O
<qed>0.4423|OC1CCC1
<qed>0.4305|CC(C)Br
<qed>0.4383|CCN(C)C
<qed>0.4217|CNCC#C
<qed>0.3704|NOCC=C
<qed>0.4936|NCCCCCN
<qed>0.4207|CNC(C)=O
<qed>0.4633|COCCOC
<qed>0.4973|OCCCCl
<qed>0.3645|BrCC=C
<qed>0.4383|IC(I)I
<qed>0.4443|CCCC=O
<qed>0.3916|C1COC1
<qed>0.3577|CCON=O
<qed>0.2973|O=CC=O
<qed>0.2829|CN=C=O
<qed>0.2947|CCCCNN
<qed>0.4664|NCCC#N
<qed>0.4133|CC(C)S
<qed>0.3353|CSCSSC
<qed>0.2931|OCCNCO
<qed>0.4117|C1CNC1
<qed>0.3971|CC(C)C
<qed>0.4354|BrCC#N
<qed>0.3517|CN1CC1
<qed>0.3673|CC1CO1
<qed>0.3876|CC1CN1
<qed>0.4931|COCCCN
<qed>0.4605|CCNCCO
<qed>0.3899|ClCC#N
<qed>0.4643|CNCC=C
<qed>0.4328|ClC=CCl
<qed>0.2378|N=[N]#N
<qed>0.4105|FCC1CO1
<qed>0.4379|O=S1CCCC1
<qed>0.3673|CC1CO1
<qed>0.3859|NC1CONC1=O
<qed>0.3396|COC(=O)C=C
<qed>0.4018|S=C1NCCN1
<qed>0.4018|O=C1NCCN1
<qed>0.4495|CC(C)(C)N
<qed>0.4379|CCOC(C)=O
<qed>0.5076|CCn1ccnc1
<qed>0.5147|Oc1ccccc1
<qed>0.5434|CCCC(O)=O
<qed>0.4751|OC(=O)CCl
<qed>0.472|Cc1ccncc1
<qed>0.472|Cc1cccnc1
<qed>0.472|Cc1ccccn1
<qed>0.3925|C1CCC=CC1
<qed>0.4498|CC(C)(C)O
<qed>0.3951|CCCCCCC=O
<qed>0.4746|CCC(Cl)CC
<qed>0.4618|CC(C)CC=O
<qed>0.4328|O=CC1CCC1
<qed>0.4297|O=C1CCCC1
<qed>0.4776|CC1CCNCC1
<qed>0.4801|CC1CCCCN1
<qed>0.5127|Nc1ccccn1
<qed>0.44|OC1CCCNC1
<qed>0.547|CCCCCCCCO
<qed>0.5127|Nc1cccnc1
<qed>0.4639|NCC(F)CON
<qed>0.3116|NCC(F)CNN
<qed>0.296|CCCCN=C=O
<qed>0.5366|NCCCSCCCN
<qed>0.3705|NCC(O)CON
<qed>0.4165|NCCCNCCCN
<qed>0.4877|NCCCOCCCN
<qed>0.383|O=C1CNCN1
<qed>0.5237|NCCCCCCCN
<qed>0.4863|OC1CCCCC1
<qed>0.5113|CCCC(C)CC
<qed>0.4549|CC(Cl)CCl
<qed>0.4958|CCCC(C)=O
<qed>0.4279|ClC(Cl)Cl
<qed>0.573|CCCC(O)CC
<qed>0.4958|CCC(=O)CC
<qed>0.573|CCCCC(C)O
<qed>0.5021|CCCCOCCCC
<qed>0.4658|O=CNC1CC1
<qed>0.4543|O=C1CCCS1
<qed>0.5034|NC(=O)CBr
<qed>0.5356|OC(=O)CBr
<qed>0.4654|Cn1ccnc1F
<qed>0.495|Cn1ccnc1N
<qed>0.4248|NC1=NCCO1
<qed>0.582|OCc1ccsc1
<qed>0.1214|NN=C(N)NO
<qed>0.4953|Nc1ncccn1
<qed>0.3752|NN1CCNCC1
<qed>0.4705|Nc1ncncn1
<qed>0.3968|O=C1CCCO1
<qed>0.4111|FC1NCC=N1
<qed>0.4019|CN1CC=NC1
<qed>0.4618|Fc1ccccc1
<qed>0.4466|OC(=O)CS
<qed>0.573|CCN(CC)CCO
<qed>0.3785|C1OCC=C1
<qed>0.3292|CN(C)N=O
<qed>0.3792|NC(CO)CO
<qed>0.4091|FC(Cl)Cl
<qed>0.4498|OCCN1CC1
<qed>0.4109|OC1CCNC1
<qed>0.4806|CCCCCCCC
<qed>0.4856|CCC(C)Br
<qed>0.3955|CCCCCCCl
<qed>0.4335|CC(C)CCl
<qed>0.4476|NC(=O)CF
<qed>0.3768|NCC(O)CN
<qed>0.3882|N#CC1CN1
<qed>0.4722|CCC(I)CC
<qed>0.487|CCC(F)CC
<qed>0.136|NN=C(N)N
<qed>0.377|BrCC=C=C
<qed>0.4236|OCC(O)=O
<qed>0.1967|NNC(N)=S
<qed>0.3903|CN(C)C=O
<qed>0.4531|c1ccncc1
<qed>0.5442|CCCCCCCO
<qed>0.4426|c1ccccc1
<qed>0.4341|C1COCCN1
<qed>0.4496|NC(=O)CI
<qed>0.3884|CCCCCC=O
<qed>0.5408|CCCCOCCO
<qed>0.4645|OC1CCCC1
<qed>0.5047|Nc1ncns1
<qed>0.5337|CCC(C)CN
<qed>0.5127|NCCCCCCN
<qed>0.1667|NC(=N)NO
<qed>0.5479|NCC1CCCCC1
<qed>0.4125|C1NCN=C1
<qed>0.4883|CCC(N)CO
<qed>0.3419|OP(O)(O)=O
<qed>0.3834|O=C1CCN1
<qed>0.5215|Nc1nccs1
<qed>0.4518|ClCCCCBr
<qed>0.4344|CCC(C)Cl
<qed>0.4848|CC(C)CBr
<qed>0.5229|OCCCC(O)=O
<qed>0.3305|CSC(N)=N
